Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
137,11.11,Joel/Aryan,,Devin Singletary,HOU,RB
138,11.12,Sai/Jack,,Michael Gallup,DAL,WR
139,11.13,Shray,,Tank Bigsby,JAC,RB
140,12.01,Sai/Jack,,Cole Kmet,CHI,TE
141,12.02,Joel/Aryan,,Jayden Reed,GB,WR
142,12.03,Rohan/Mani,,Cordarrelle Patterson,ATL,RB
143,12.04,Liam/Rushil,,Rashee Rice,KC,WR
144,12.05,Deven/Krishna,,Kenneth Gainwell,PHI,RB
145,12.06,Kruthik/Davis,,Justin Tucker,BAL,K
146,12.07,Shray,,Roschon Johnson,CHI,RB
147,12.08,Manav/Brian,,Gus Edwards,BAL,RB
148,12.09,Shashaank/Rawad,,Romeo Doubs,GB,WR
149,12.1,Mateen,,Dallas Cowboys,DAL,DST
150,12.11,Ani/Adrian,,K.J. Osborn,MIN,WR
151,12.12,Vib/Pranav,,Zack Moss,IND,RB
152,12.13,Shray,,Zamir White,LV,RB
153,13.01,Vib/Pranav,,Kirk Cousins,MIN,QB
154,13.02,Ani/Adrian,,Daniel Carlson,LV,K
155,13.03,Shashaank/Rawad,Mateen,John Metchie III,HOU,WR
156,13.04,Shashaank/Rawad,,Philadelphia Eagles,PHI,DST
157,13.05,Manav/Brian,,Buffalo Bills,BUF,DST
158,13.06,Shray,,Jameson Williams,DET,WR
159,13.07,Kruthik/Davis,,New England Patriots,NE,DST
160,13.08,Deven/Krishna,,Wan'Dale Robinson,NYG,WR
161,13.09,Manav/Brian,Liam/Rushil,Harrison Butker,KC,K
162,13.1,Rohan/Mani,,Evan McPherson,CIN,K
163,13.11,Joel/Aryan,,New Orleans Saints,NO,DST
164,13.12,Sai/Jack,,Miami Dolphins,MIA,DST
165,13.13,Liam/Rushil,,Dalton Kincaid,BUF,TE
166,14.01,Sai/Jack,,Younghoe Koo,ATL,K
167,14.02,Joel/Aryan,,Matt Gay,IND,K
168,14.03,Rohan/Mani,,Ezekiel Elliott,FA,RB
169,14.04,Liam/Rushil,,Baltimore Ravens,BAL,DST
170,14.05,Manav/Brian,Deven/Krishna,Jonathan Mingo,CAR,WR
171,14.06,Kruthik/Davis,,Donovan Peoples-Jones,CLE,WR
172,14.07,Shray,,Jerome Ford,CLE,RB
173,14.08,Deven/Krishna,Manav/Brian,Washington Commanders,WAS,DST
174,14.09,Shashaank/Rawad,,Jake Elliott,PHI,K
175,14.1,Mateen,,Michael Carter,NYJ,RB
176,14.11,Ani/Adrian,,Seattle Seahawks,SEA,DST
177,14.12,Vib/Pranav,,Cincinnati Bengals,CIN,DST
178,14.13,Vib/Pranav,,Chuba Hubbard,CAR,RB
