Pick #,Round Pick #,Owner,Pick,Team,Pos.
136,11.10,Ani,Rams D/ST,LAR,D/ST
137,11.11,Kruthik/Rawad,Jaguars D/ST,JAX,D/ST
138,11.12,Sai/Jack,TJ Hockenson,DET,TE
139,11.13,Mateen/Rohit,Ravens D/ST,BAL,D/ST
140,12.01,Sai/Jack,Cleveland D/ST,CLE,D/ST
141,12.02,Kruthik/Rawad,Mohamed Sanu,ATL,WR
142,12.03,Ani,Dion Lewis,TEN,RB
143,12.04,Mateen/Rohit,Donte Moncrief,PIT,WR
144,12.05,Liam (via Shray),Harrison Butker,KC,K
145,12.06,Sai/Jack (via Shashaank),Justin Tucker,BAL,K
146,12.07,Rushil/Krishna (via Deven/Insung),Gus Edwards,BAL,RB
147,12.08,Rushil/Krishna,Keke Coutee,HOU,WR
148,12.09,Adrian,Minnesota D/ST,MIN,D/ST
149,12.10,Joel/Aryan,Will Lutz,NO,K
150,12.11,Deven/Insung (via Manav/Brian),Justice Hill,BAL,RB
151,12.12,Liam,SF D/ST,SF,D/ST
152,12.13,Joel/Aryan,Andy Isabella,AZ,WR
153,13.01,Shray (via Liam),Josh Allen,BUF,QB
154,13.02,Manav/Brian,Stephen Gostkowski,NE,K
155,13.03,Joel/Aryan,NYJ D/ST,NYJ,D/ST
156,13.04,Adrian,Greg Zuerlein,LAR,K
157,13.05,Rushil/Krishna,Kaimi Fairbairn,HOU,K
158,13.06,Sai/Jack (via Deven/Insung),Nick Foles,JAX,QB
159,13.07,Shashaank,Robbie Gould,SF,K
160,13.08,Shray,Damien Harris,KC,RB
161,13.09,Mateen/Rohit,Jake Elliot,PHI,K
162,13.10,Ani,Matt Prater,DET,K
163,13.11,Kruthik/Rawad,Brett Maher,DAL,K
164,13.12,Deven/Insung (via Sai/Jack),Mecole Hardman,KC,WR
165,13.13,Ani,Phillip Rivers,LAC,QB
166,14.01,Deven/Insung (via Sai/Jack),DEN D/ST,DEN,D/ST
167,14.02,Kruthik/Rawad,Jimmy Garappolo,SF,QB
168,14.03,Ani,Maxx Williams,ARI,TE
169,14.04,Mateen/Rohit,Greg Olsen,CAR,TE
170,14.05,"Deven/Insung (via Manav/Brian,via Shray)",Mike Badgley,LAC,K
171,14.06,Liam (via Shashaank),Jay Ajayi,FA,RB
172,14.07,Rushil/Krishna (via Deven/Insung),Kirk Cousins,WAS,QB
173,14.08,Rushil/Krishna,LAC D/ST,LAC,D/ST
174,14.09,Adrian,SEA D/ST,SEA,D/ST
175,14.10,Joel/Aryan,Noah Fant,DEN,TE
176,14.11,Shray (via Manav/Brian),Ronald Jones,BUCS,RB
177,14.12,"Shashaank (via Rushil/Krishna,via Liam)",DAL D/ST,DAL,D/ST
178,14.13,Deven/Insung,Darren Waller,OAK,TE
